;userID;ISBN;bookRating
33453;130571;1896860982;6
256;136491;043935806X;9
23679;8454;044041833X;9
25089;140358;051511264X;5
28409;27304;1853260207;1
34533;36907;034540047X;10
52360;76218;1566196884;5
14559;51883;034528643X;8
31638;83561;055334949X;5
1876;143497;014029628X;8
1136;70379;1558743669;10
695;127359;034541389X;7
21967;98391;1551668440;9
16589;28177;1565122968;7
12146;53042;068815252X;5
57589;105374;1583940286;9
7644;38273;030712908X;1
27297;93047;1401088945;3
23547;127519;155166951X;7
12149;88733;068815252X;9
27459;140555;1852305606;9
7440;27383;006016848X;8
726;136348;074320607X;6
63265;151093;059041089X;10
12644;22625;038533334X;10
5204;16795;044651652X;9
17787;115003;074322535X;9
2172;88872;014100018X;9
13931;135799;038082101X;4
554;56447;081297106X;8
11873;53278;1573225789;8
37465;148258;078580871X;10
14020;96054;006251279X;10
25967;142579;055358099X;6
3278;95359;042516098X;4
21277;46909;037541388X;7
28782;25981;034532532X;5
35479;112001;155166013X;8
46851;48355;1569310823;7
11323;88733;1567310877;8
11609;127113;1573225126;2
25014;25981;1551660431;5
22101;112093;042515405X;5
54646;126240;1571312471;8
22252;70594;078688505X;7
12821;104636;055321313X;10
14750;140938;048640076X;10
25339;42162;1591823978;9
13978;110934;080410882X;9
4454;105937;067976402X;10
30506;60098;037322706X;9
46017;104113;067978148X;7
16820;3471;014004387X;10
5561;92152;044900371X;10
13490;73196;089480829X;10
18863;150663;1580050158;10
9302;148744;059050214X;8
21617;63854;1400042070;7
13183;134311;038531258X;9
30207;110973;1560761555;9
14326;2110;1561008931;7
53564;74328;006447352X;6
14219;140255;068483376X;9
11295;45530;1563895730;10
48446;139913;1887178740;4
40809;33474;091825955X;8
720;85993;074320607X;10
22359;105968;051513225X;5
42418;54335;1880418568;9
31873;93426;155166917X;7
3491;126736;044022165X;6
8298;26473;042518630X;5
16321;134797;1551668998;7
5296;92979;044651652X;1
35508;30263;1551669560;9
5048;16795;1573221112;8
35534;139467;044023512X;7
28971;112559;158062524X;9
15472;139467;006099486X;8
38397;98391;038080588X;9
20602;62862;038572179X;7
15046;125203;1558744630;10
29802;133747;1573220221;7
1464;55027;044023722X;9
33643;93363;1881273156;8
25692;10819;1862044201;7
5948;6242;068484477X;8
41825;126812;039913414X;4
17146;37874;038533303X;8
32214;19085;084394739X;7
3378;46671;044022165X;8
40301;32122;067172939X;8
11225;149120;051510521X;5
16524;49403;1558747060;8
771;71752;067102423X;8
6249;7082;044022425X;5
862;124942;080410946X;5
11079;147678;006000438X;8
44297;57105;1853260258;9
375;7346;059030271X;10
19487;30735;080411109X;9
24666;137589;038072118X;8
10446;87141;048627263X;9
6360;32773;059035342X;9
27674;139524;1931514917;9
27298;94923;1401088945;5
38614;30072;1569319472;8
6263;52853;044022425X;9
26693;13850;055327449X;10
51327;62891;1558500189;7
4006;41455;051510566X;5
18655;5439;1892145057;9
32447;98391;1551667363;10
6445;86093;059035342X;10
32129;127129;1557739218;8
6471;102891;059035342X;10
44397;98391;038081336X;9
3287;113904;042516098X;7
19771;58792;157322202X;10
51512;64241;1561581577;8
34452;148966;1551668866;3
28769;111054;014039012X;4
23371;54206;1400060737;10
32390;72523;1551662736;5
12804;69389;055321313X;8
37463;106988;078580871X;7
23534;67840;155166951X;10
57588;94347;1583940286;9
23569;135376;1400046610;8
2090;73330;006092988X;10
4569;62542;1558744606;8
17456;54889;068480087X;8
8146;4938;042513525X;7
52644;70415;088166247X;10
31603;65032;014034019X;5
12136;69971;067151699X;4
20366;13273;015100692X;9
4393;78448;067976402X;8
20950;43910;1573229725;10
6415;71490;059035342X;9
16016;30533;037325041X;7
20757;53220;078688908X;9
54713;79441;1571458735;9
31467;110934;031205825X;6
27820;67840;1551667010;10
6852;30533;014025448X;9
5073;137497;1573221112;8
22115;25409;042518885X;5
20308;137336;1558744592;7
35528;115503;044023512X;10
18432;61704;1586480499;10
563;85426;081297106X;9
43154;125538;1853260169;7
5876;115700;044022103X;8
35461;146386;050552113X;10
32340;56447;1578561256;9
44405;146386;050552158X;10
48854;93629;006016767X;6
32745;125519;045120753X;8
11168;81298;038542017X;8
6382;49635;059035342X;9
2526;55493;067101417X;6
56441;88229;1560242876;10
30280;24194;039568093X;8
26807;11993;1558531211;10
60687;112001;034536774X;10
43826;121170;038533530X;7
46046;55490;006092943X;9
44247;60244;006000942X;9
24228;31315;042510687X;8
30790;16795;068982954X;5
24628;9357;1584650028;5
27524;12824;1569311897;9
17684;146803;1551668653;9
21272;130571;031225234X;7
31628;17003;006057898X;10
63264;125396;059041089X;8
48985;110973;1894869613;7
29385;129851;1559703962;9
31195;60244;1573221376;5
30648;16795;051508901X;8
21489;43619;067100042X;7
2717;138543;080410753X;10
6506;121545;059035342X;10
46338;117251;1560974273;8
25347;30072;159182415X;9
23968;8734;156138450X;5
22730;82893;042507160X;9
19058;110934;042513024X;7
43930;85656;080411336X;8
17385;143415;1573226521;9
17349;127826;031205436X;6
6881;66518;014025448X;10
1387;28144;044023722X;2
11098;38248;034543014X;10
9428;49900;067187098X;6
12672;69078;038533334X;7
37778;28591;044661114X;7
40518;98741;1580620477;10
1084;11529;1558743669;6
44656;98391;078686818X;8
710;25601;055358295X;8
23736;59172;042511984X;9
3315;147839;042516098X;6
19461;100906;067973743X;9
28537;98391;006053821X;10
2837;66789;1400031354;5
16936;121170;068487217X;9
14432;82164;080411935X;6
20021;94951;067187876X;9
10834;111133;1558745718;8
6257;37712;044022425X;10
12605;55799;039914563X;7
15879;104657;059045899X;9
35511;98391;1551669560;7
